idinterrupcion,eps,sede,tipointerrupcion,tiposervicio,motivointerrupcion,fechainicio,horainicio,fechafin,horafin,departamento,provincia,distrito,numconexdom,unidadesuso,numcamionespuntos,inicio_dt,fin_dt,duracion_horas,mes
a7a3066294a4e58a4938726a468e70e5,SEDAPAL,ATE,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20240418,11:35:00,20240418,18:35:00,LIMA,LIMA,CIENEGUILLA,1026,1095,NA,2024-04-18,2024-04-19,24,2024-04-01
ae2dc7c7ffca19b65736d398cd635af6,SEDAPAL,COMAS,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,20240425,12:00:00,20240425,20:00:00,LIMA,LIMA,CARABAYLLO,2721,2927,NA,2024-04-25,2024-04-26,24,2024-04-01
d170b375fa131f62a127f17802f3f689,SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20240418,11:00:00,20240418,18:00:00,CUSCO,CUSCO,CUSCO,100,100,NA,2024-04-18,2024-04-19,24,2024-04-01
6e6080d769099128949a78468298da9c,SEDAPAL,SJL,IMPREVISTA,AGUA POTABLE,CORTE DE SERVICIO DE ELECTRICIDAD,20240418,10:40:00,20240418,15:55:00,LIMA,LIMA,SAN JUAN DE LURIGANCHO,99,103,NA,2024-04-18,2024-04-19,24,2024-04-01
2509295a47746f87336e8bcc87ce539e,SEDALIB,TRUJILLO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20240418,10:30:00,20240418,14:15:00,LA LIBERTAD,TRUJILLO,TRUJILLO,20207,23742,NA,2024-04-18,2024-04-19,24,2024-04-01
214399e28b7aa8007b496c27b52d44ab,SEDAPAL,CALLAO,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,20240426,10:00:00,20240426,16:00:00,CALLAO,CALLAO,CALLAO,3184,12728,NA,2024-04-26,2024-04-27,24,2024-04-01
eca7881135344f6b76c59756ce5bf43b,SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20240418,10:30:00,20240418,13:00:00,CUSCO,CUSCO,CUSCO,100,100,NA,2024-04-18,2024-04-19,24,2024-04-01
b784957338fe3701677b86b9fde58ea9,EPS EMAPAT,EMAPAT,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,20240418,10:30:00,20240418,12:00:00,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,98,98,NA,2024-04-18,2024-04-18,0,2024-04-01
662ba19904bf8e562c7f8d3248926a02,SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20240418,09:30:00,20240418,13:00:00,CUSCO,CUSCO,CUSCO,100,100,NA,2024-04-18,2024-04-19,24,2024-04-01
9173d44d8a047913eb27337d4ac801e3,SEDAPAR,SEDAPAR,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,20240418,09:45:00,20240418,13:00:00,AREQUIPA,AREQUIPA,MARIANO MELGAR,320,320,NA,2024-04-18,2024-04-19,24,2024-04-01
43c0feb21707fb1723d8d45a1ecb22b1,SEDAPAL,SURQUILLO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20240418,09:30:00,20240418,16:00:00,LIMA,LIMA,BARRANCO,10092,15855,NA,2024-04-18,2024-04-19,24,2024-04-01
914013571a836b41413f00f3efec2535,SEDALIB,TRUJILLO,IMPREVISTA,AGUA POTABLE,CAMBIO DE VÁLVULA,20240418,05:00:00,20240418,15:15:00,LA LIBERTAD,TRUJILLO,HUANCHACO,1644,1946,NA,2024-04-18,2024-04-19,24,2024-04-01
24ad5b6b73b970b7fc5dd45fd8bee6b5,SEDAPAL,COMAS,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20240418,09:20:00,20240418,17:00:00,LIMA,LIMA,COMAS,21263,32111,NA,2024-04-18,2024-04-19,24,2024-04-01
6629ebc35c23377b70742348e87d962f,EMAPA CAÑETE,EMAPA CAÑETE,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA POR TERCERO,20240417,23:00:00,20240418,05:00:00,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,232,232,NA,2024-04-18,2024-04-18,0,2024-04-01
b9b4c3cf17ee904c15feb70bb17e01e2,SEDAPAR,SEDAPAR,PROGRAMADA,AGUA POTABLE,EJECUCIÓN DE EMPALME,20240426,08:00:00,20240426,13:00:00,AREQUIPA,AREQUIPA,MIRAFLORES,1498,1498,NA,2024-04-26,2024-04-27,24,2024-04-01
e443b70c3e4c66f10b40a0c96872ba5c,SEDACUSCO,SEDACUSCO,PROGRAMADA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20240430,08:00:00,20240501,04:00:00,CUSCO,CUSCO,CUSCO,3000,3000,3,2024-04-30,2024-05-01,24,2024-04-01
f5edacf5e8fe2bd9cccc09d21b0d28e8,SEDALIB,TRUJILLO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20240417,09:10:00,20240417,17:10:00,LA LIBERTAD,TRUJILLO,TRUJILLO,3291,3723,NA,2024-04-17,2024-04-18,24,2024-04-01
19a5e53f8014761abe9b9f6b66cd21c7,SEDAPAL,Equipo de Distribución Primaria,IMPREVISTA,AGUA POTABLE,OTROS,20240418,08:00:00,20240418,11:30:00,LIMA,LIMA,MAGDALENA DEL MAR,22727,37565,NA,2024-04-18,2024-04-18,0,2024-04-01
79408ae26d1d0c82413deb090974d95f,SEDAPAL,COMAS,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20240418,08:20:00,20240418,16:00:00,LIMA,LIMA,CARABAYLLO,3536,4890,NA,2024-04-18,2024-04-19,24,2024-04-01
e9e17aa0faa05868d4d46874032f8f66,SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20240418,06:30:00,20240418,12:00:00,CUSCO,CUSCO,CUSCO,100,100,NA,2024-04-18,2024-04-18,0,2024-04-01
73b2e790cb12b57bb48bd64937f64883,SEDAPAL,ATE,IMPREVISTA,AGUA POTABLE,CAMBIO DE VÁLVULA,20240418,06:50:00,20240418,14:30:00,LIMA,LIMA,ATE,6880,10323,NA,2024-04-18,2024-04-19,24,2024-04-01
df37a02006a89b0156d1a88290f39ebd,SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20240418,04:00:00,20240418,04:00:00,CUSCO,CUSCO,SAN SEBASTIAN,100,100,NA,2024-04-18,2024-04-18,0,2024-04-01
e4cfaa0e53abc51109ca3382e48b394b,SEDAPAL,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,20240418,01:00:00,20240418,11:00:00,LIMA,LIMA,VILLA EL SALVADOR,73874,105886,NA,2024-04-18,2024-04-18,0,2024-04-01
df806c350634a73a9d3c837f53ff2001,SEDAPAL,COMAS,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20240417,23:30:00,20240418,06:00:00,LIMA,LIMA,COMAS,17768,27011,NA,2024-04-18,2024-04-18,0,2024-04-01
4ecee274fd39838904cd4c5cc9b5f927,SEDAPAL,ATE,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,20240417,20:30:00,20240417,23:55:00,LIMA,LIMA,SAN LUIS,7782,12494,NA,2024-04-18,2024-04-18,0,2024-04-01
807d733258ea7d468f202bf59a9fad1e,SEDAPAL,COMAS,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20240417,20:10:00,20240418,03:00:00,LIMA,LIMA,CARABAYLLO,6355,9179,NA,2024-04-18,2024-04-18,0,2024-04-01
761ed6bacd196f260ca10c8f6c67d67d,AGUA TUMBES,TUMBES,IMPREVISTA,AGUA POTABLE,OTROS,20240417,22:00:00,20240419,22:00:00,TUMBES,TUMBES,TUMBES,906,906,1,2024-04-18,2024-04-20,48,2024-04-01
562c0f48e43a09c7239a1aeda5046ff9,SEDAPAL,SURQUILLO,PROGRAMADA,AGUA POTABLE,EJECUCIÓN DE EMPALME,20240425,12:00:00,20240425,23:00:00,LIMA,LIMA,SANTIAGO DE SURCO,113,271,NA,2024-04-25,2024-04-26,24,2024-04-01
562c0f48e43a09c7239a1aeda5046ff9,SEDAPAL,SURQUILLO,PROGRAMADA,AGUA POTABLE,EJECUCIÓN DE EMPALME,20240425,12:00:00,20240425,23:00:00,LIMA,LIMA,BARRANCO,1022,2555,NA,2024-04-25,2024-04-26,24,2024-04-01
9c4443a7601002452e969c5319fbd922,SEDACUSCO,SEDACUSCO,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20240417,16:20:00,20240417,19:00:00,CUSCO,CUSCO,SAN JERONIMO,100,100,NA,2024-04-18,2024-04-18,0,2024-04-01
